gainQuoteHomeConversionFactor,reason,accountBalance,type,halfSpreadCost,instrument,tradeCloseTransactionID,time,pl,baseFinancingHomeConversionCost,accountID,requestID,guaranteedExecutionFeeHomeConversionCost,guaranteedExecutionFee,fullPrice,positionFinancings,takeProfitOnFill,longPositionCloseout,userID,quotePL,plHomeConversionCost,closedTradeID,positionFill,commission,requestedUnits,lossQuoteHomeConversionFactor,quoteGuaranteedExecutionFee,triggerCondition,baseFinancing,triggerMode,stopLossOnFill,id,tradeOpened,financing,baseHomeConversionCost,units,batchID,homeConversionFactors,price,tradeID,orderID,timeInForce,tradesClosed,fullVWAP,homeConversionCost
,ON_FILL,,TAKE_PROFIT_ORDER,,,,2024-07-29T14:15:59.845372152Z,,,101-004-29576199-001,9.72957E+16,,,,,,,29576199,,,,,,,,,DEFAULT,,,,14,,,,,12,,1.0819,13,,GTC,,,
,ON_FILL,,STOP_LOSS_ORDER,,,,2024-07-29T14:15:59.845372152Z,,,101-004-29576199-001,9.72957E+16,,,,,,,29576199,,,,,,,,,DEFAULT,,TOP_OF_BOOK,,15,,,,,12,,1.08064,13,,GTC,,,
0.775287426,STOP_LOSS_ORDER,99999.491,ORDER_FILL,0.0273,EUR_USD,,2024-07-29T14:30:40.604180977Z,-0.509,0,101-004-29576199-001,,0,0,"{'closeoutBid': '1.08056', 'closeoutAsk': '1.08081', 'timestamp': '2024-07-29T14:30:40.604180977Z', 'bids': [{'price': '1.08065', 'liquidity': '500000'}, {'price': '1.08064', 'liquidity': '2500000'}, {'price': '1.08063', 'liquidity': '2000000'}, {'price': '1.08062', 'liquidity': '5000000'}, {'price': '1.08059', 'liquidity': '10000000'}, {'price': '1.08056', 'liquidity': '10000000'}], 'asks': [{'price': '1.08072', 'liquidity': '500000'}, {'price': '1.08073', 'liquidity': '500000'}, {'price': '1.08074', 'liquidity': '2000000'}, {'price': '1.08075', 'liquidity': '2000000'}, {'price': '1.08076', 'liquidity': '5000000'}, {'price': '1.08078', 'liquidity': '10000000'}, {'price': '1.08081', 'liquidity': '10000000'}]}",,,,29576199,-0.65,-0.002494856,,,0,-1000,0.783079259,0,,0,,,16,,0,,-1000,16,"{'gainQuoteHome': {'factor': '0.77528742550184'}, 'lossQuoteHome': {'factor': '0.78307925892396'}, 'gainBaseHome': {'factor': '0.83786960'}, 'lossBaseHome': {'factor': '0.84629040'}}",1.08065,,7,,"[{'tradeID': '5', 'units': '-1000', 'realizedPL': '-0.5090', 'financing': '0.0000', 'baseFinancing': '0.00000000000000', 'price': '1.08065', 'guaranteedExecutionFee': '0.0000', 'quoteGuaranteedExecutionFee': '0', 'halfSpreadCost': '0.0273', 'plHomeConversionCost': '-0.00249485578986', 'baseFinancingHomeConversionCost': '0.00000000000000', 'guaranteedExecutionFeeHomeConversionCost': '0.00000000000000', 'homeConversionCost': '-0.00249485578986'}]",1.08065,-0.002494856
,LINKED_TRADE_CLOSED,,ORDER_CANCEL,,,16,2024-07-29T14:30:40.604180977Z,,,101-004-29576199-001,,,,,,,,29576199,,,5,,,,,,,,,,17,,,,,16,,,,6,,,,
0.775287426,STOP_LOSS_ORDER,99999.0916,ORDER_FILL,0.0273,EUR_USD,,2024-07-29T14:30:40.604180977Z,-0.3994,0,101-004-29576199-001,,0,0,"{'closeoutBid': '1.08056', 'closeoutAsk': '1.08081', 'timestamp': '2024-07-29T14:30:40.604180977Z', 'bids': [{'price': '1.08065', 'liquidity': '499000'}, {'price': '1.08064', 'liquidity': '2500000'}, {'price': '1.08063', 'liquidity': '2000000'}, {'price': '1.08062', 'liquidity': '5000000'}, {'price': '1.08059', 'liquidity': '10000000'}, {'price': '1.08056', 'liquidity': '10000000'}], 'asks': [{'price': '1.08072', 'liquidity': '500000'}, {'price': '1.08073', 'liquidity': '500000'}, {'price': '1.08074', 'liquidity': '2000000'}, {'price': '1.08075', 'liquidity': '2000000'}, {'price': '1.08076', 'liquidity': '5000000'}, {'price': '1.08078', 'liquidity': '10000000'}, {'price': '1.08081', 'liquidity': '10000000'}]}",,,,29576199,-0.51,-0.001957502,,,0,-1000,0.783079259,0,,0,,,18,,0,,-1000,18,"{'gainQuoteHome': {'factor': '0.77528742550184'}, 'lossQuoteHome': {'factor': '0.78307925892396'}, 'gainBaseHome': {'factor': '0.83786960'}, 'lossBaseHome': {'factor': '0.84629040'}}",1.08065,,11,,"[{'tradeID': '9', 'units': '-1000', 'realizedPL': '-0.3994', 'financing': '0.0000', 'baseFinancing': '0.00000000000000', 'price': '1.08065', 'guaranteedExecutionFee': '0.0000', 'quoteGuaranteedExecutionFee': '0', 'halfSpreadCost': '0.0273', 'plHomeConversionCost': '-0.00195750223512', 'baseFinancingHomeConversionCost': '0.00000000000000', 'guaranteedExecutionFeeHomeConversionCost': '0.00000000000000', 'homeConversionCost': '-0.00195750223512'}]",1.08065,-0.001957502
,LINKED_TRADE_CLOSED,,ORDER_CANCEL,,,18,2024-07-29T14:30:40.604180977Z,,,101-004-29576199-001,,,,,,,,29576199,,,9,,,,,,,,,,19,,,,,18,,,,10,,,,
0.775287426,STOP_LOSS_ORDER,99998.6922,ORDER_FILL,0.0312,EUR_USD,,2024-07-29T14:30:41.093619635Z,-0.3994,0,101-004-29576199-001,,0,0,"{'closeoutBid': '1.08055', 'closeoutAsk': '1.08081', 'timestamp': '2024-07-29T14:30:41.093619635Z', 'bids': [{'price': '1.08064', 'liquidity': '498000'}, {'price': '1.08063', 'liquidity': '2500000'}, {'price': '1.08062', 'liquidity': '2000000'}, {'price': '1.08061', 'liquidity': '5000000'}, {'price': '1.08058', 'liquidity': '10000000'}, {'price': '1.08055', 'liquidity': '10000000'}], 'asks': [{'price': '1.08072', 'liquidity': '500000'}, {'price': '1.08073', 'liquidity': '500000'}, {'price': '1.08074', 'liquidity': '2000000'}, {'price': '1.08075', 'liquidity': '2000000'}, {'price': '1.08076', 'liquidity': '5000000'}, {'price': '1.08078', 'liquidity': '10000000'}, {'price': '1.08081', 'liquidity': '10000000'}]}",,,,29576199,-0.51,-0.001957502,,,0,-1000,0.783079259,0,,0,,,20,,0,,-1000,20,"{'gainQuoteHome': {'factor': '0.77528742550184'}, 'lossQuoteHome': {'factor': '0.78307925892396'}, 'gainBaseHome': {'factor': '0.83786960'}, 'lossBaseHome': {'factor': '0.84629040'}}",1.08064,,15,,"[{'tradeID': '13', 'units': '-1000', 'realizedPL': '-0.3994', 'financing': '0.0000', 'baseFinancing': '0.00000000000000', 'price': '1.08064', 'guaranteedExecutionFee': '0.0000', 'quoteGuaranteedExecutionFee': '0', 'halfSpreadCost': '0.0312', 'plHomeConversionCost': '-0.00195750223512', 'baseFinancingHomeConversionCost': '0.00000000000000', 'guaranteedExecutionFeeHomeConversionCost': '0.00000000000000', 'homeConversionCost': '-0.00195750223512'}]",1.08064,-0.001957502
,LINKED_TRADE_CLOSED,,ORDER_CANCEL,,,20,2024-07-29T14:30:41.093619635Z,,,101-004-29576199-001,,,,,,,,29576199,,,13,,,,,,,,,,21,,,,,20,,,,14,,,,
,CLIENT_ORDER,,MARKET_ORDER,,EUR_USD,,2024-07-29T14:30:59.810498598Z,,,101-004-29576199-001,6.12669E+16,,,,,"{'price': '1.08175', 'timeInForce': 'GTC'}",,29576199,,,,DEFAULT,,,,,,,,"{'price': '1.08031', 'timeInForce': 'GTC', 'triggerMode': 'TOP_OF_BOOK'}",22,,,,1000,22,,,,,FOK,,,
0.775272323,MARKET_ORDER,99998.6922,ORDER_FILL,0.0273,EUR_USD,,2024-07-29T14:30:59.810498598Z,0,0,101-004-29576199-001,6.12669E+16,0,0,"{'closeoutBid': '1.08053', 'closeoutAsk': '1.08078', 'timestamp': '2024-07-29T14:30:52.621181359Z', 'bids': [{'price': '1.08062', 'liquidity': '500000'}, {'price': '1.08061', 'liquidity': '2500000'}, {'price': '1.08060', 'liquidity': '2000000'}, {'price': '1.08059', 'liquidity': '5000000'}, {'price': '1.08056', 'liquidity': '10000000'}, {'price': '1.08053', 'liquidity': '10000000'}], 'asks': [{'price': '1.08069', 'liquidity': '500000'}, {'price': '1.08070', 'liquidity': '500000'}, {'price': '1.08071', 'liquidity': '2000000'}, {'price': '1.08072', 'liquidity': '2000000'}, {'price': '1.08073', 'liquidity': '5000000'}, {'price': '1.08075', 'liquidity': '10000000'}, {'price': '1.08078', 'liquidity': '10000000'}]}",,,,29576199,0,0,,,0,1000,0.783064005,0,,0,,,23,"{'price': '1.08069', 'tradeID': '23', 'units': '1000', 'guaranteedExecutionFee': '0.0000', 'quoteGuaranteedExecutionFee': '0', 'halfSpreadCost': '0.0273', 'initialMarginRequired': '28.0670', 'guaranteedExecutionFeeHomeConversionCost': '0.00000000000000'}",0,,1000,22,"{'gainQuoteHome': {'factor': '0.77527232308437'}, 'lossQuoteHome': {'factor': '0.78306400472341'}, 'gainBaseHome': {'factor': '0.83779995'}, 'lossBaseHome': {'factor': '0.84622005'}}",1.08069,,22,,,1.08069,0
